2025-04-01 22:23:04: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=32, max_test_accuracy=0.8897, num_s1: 7940, num_s2: 30, num_s_per_node: 7970
2025-04-01 22:24:14: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=32, max_test_accuracy=0.8926, num_s1: 7853, num_s2: 33, num_s_per_node: 7886
2025-04-01 22:25:24: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=32, max_test_accuracy=0.8969, num_s1: 7919, num_s2: 34, num_s_per_node: 7953
2025-04-01 22:33:59: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=32, max_test_accuracy=0.9139, num_s1: 7916, num_s2: 37, num_s_per_node: 7953
2025-04-01 22:35:10: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=32, max_test_accuracy=0.9196, num_s1: 7899, num_s2: 32, num_s_per_node: 7931
2025-04-01 22:36:20: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=32, max_test_accuracy=0.5711, num_s1: 7905, num_s2: 55, num_s_per_node: 7960
2025-04-01 22:37:31: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=32, max_test_accuracy=0.8082, num_s1: 7969, num_s2: 31, num_s_per_node: 8000
2025-04-01 22:38:42: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=32, max_test_accuracy=0.8922, num_s1: 7943, num_s2: 34, num_s_per_node: 7977
2025-04-01 22:39:53: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=32, max_test_accuracy=0.7126, num_s1: 7953, num_s2: 27, num_s_per_node: 7980
2025-04-01 22:41:04: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=32, max_test_accuracy=0.7884, num_s1: 7911, num_s2: 32, num_s_per_node: 7943
2025-04-01 22:47:32: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=32, max_test_accuracy=0.7662, num_s1: 7935, num_s2: 29, num_s_per_node: 7964
2025-04-01 22:48:42: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=32, max_test_accuracy=0.8510, num_s1: 7877, num_s2: 34, num_s_per_node: 7911
2025-04-01 22:49:53: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=32, max_test_accuracy=0.8490, num_s1: 7924, num_s2: 29, num_s_per_node: 7953
2025-04-01 22:51:03: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=32, max_test_accuracy=0.7623, num_s1: 7982, num_s2: 29, num_s_per_node: 8011
2025-04-01 22:52:14: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=32, max_test_accuracy=0.7680, num_s1: 7947, num_s2: 29, num_s_per_node: 7976
2025-04-01 22:53:24: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=32, max_test_accuracy=0.8513, num_s1: 7922, num_s2: 34, num_s_per_node: 7956
2025-04-01 22:54:35: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=32, max_test_accuracy=0.5706, num_s1: 7957, num_s2: 22, num_s_per_node: 7979
2025-04-01 22:55:45: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=32, max_test_accuracy=0.7444, num_s1: 7918, num_s2: 30, num_s_per_node: 7948
2025-04-01 22:56:56: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=32, max_test_accuracy=0.6570, num_s1: 7944, num_s2: 25, num_s_per_node: 7969
2025-04-01 22:58:06: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=32, max_test_accuracy=0.6606, num_s1: 7916, num_s2: 23, num_s_per_node: 7939
2025-04-01 22:59:16: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=32, max_test_accuracy=0.5575, num_s1: 7950, num_s2: 21, num_s_per_node: 7971
2025-04-01 23:00:26: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=32, max_test_accuracy=0.7683, num_s1: 7920, num_s2: 29, num_s_per_node: 7949
2025-04-01 23:01:36: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=32, max_test_accuracy=0.2204, num_s1: 7932, num_s2: 63, num_s_per_node: 7995
2025-04-01 23:02:45: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=32, max_test_accuracy=0.2204, num_s1: 7940, num_s2: 95, num_s_per_node: 8035
2025-04-01 23:03:53: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=32, max_test_accuracy=0.2204, num_s1: 7981, num_s2: 67, num_s_per_node: 8048
2025-04-01 23:05:03: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=32, max_test_accuracy=0.2204, num_s1: 7918, num_s2: 159, num_s_per_node: 8077
2025-04-01 23:06:11: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=32, max_test_accuracy=0.2206, num_s1: 7908, num_s2: 67, num_s_per_node: 7975
2025-04-01 23:07:19: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.015, T=32, max_test_accuracy=0.2204, num_s1: 7976, num_s2: 95, num_s_per_node: 8071
2025-04-01 23:08:28: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=32, max_test_accuracy=0.2204, num_s1: 7901, num_s2: 127, num_s_per_node: 8028
2025-04-01 23:09:36: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=32, max_test_accuracy=0.2556, num_s1: 7944, num_s2: 48, num_s_per_node: 7992
2025-04-01 23:10:45: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.02, T=32, max_test_accuracy=0.1196, num_s1: 7955, num_s2: 63, num_s_per_node: 8018
2025-04-01 23:11:54: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=32, max_test_accuracy=0.0918, num_s1: 7951, num_s2: 127, num_s_per_node: 8078
2025-04-01 23:13:02: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=32, max_test_accuracy=0.1196, num_s1: 7937, num_s2: 95, num_s_per_node: 8032
2025-04-01 23:14:12: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.025, T=32, max_test_accuracy=0.2204, num_s1: 7912, num_s2: 191, num_s_per_node: 8103
2025-04-01 23:15:20: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=32, max_test_accuracy=0.2204, num_s1: 7939, num_s2: 127, num_s_per_node: 8066
2025-04-01 23:16:28: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=32, max_test_accuracy=0.2585, num_s1: 7933, num_s2: 76, num_s_per_node: 8009
2025-04-01 23:17:37: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.03, T=32, max_test_accuracy=0.0482, num_s1: 7942, num_s2: 127, num_s_per_node: 8069
2025-04-01 23:19:13: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=64, max_test_accuracy=0.8757, num_s1: 15888, num_s2: 66, num_s_per_node: 15954
2025-04-01 23:20:49: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=64, max_test_accuracy=0.8547, num_s1: 15899, num_s2: 57, num_s_per_node: 15956
2025-04-01 23:22:23: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0015, T=64, max_test_accuracy=0.8971, num_s1: 15891, num_s2: 69, num_s_per_node: 15960
2025-04-01 23:24:05: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=64, max_test_accuracy=0.7626, num_s1: 15805, num_s2: 55, num_s_per_node: 15860
2025-04-01 23:25:39: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=64, max_test_accuracy=0.7763, num_s1: 15869, num_s2: 64, num_s_per_node: 15933
2025-04-01 23:27:13: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.002, T=64, max_test_accuracy=0.8719, num_s1: 15834, num_s2: 61, num_s_per_node: 15895
2025-04-01 23:28:52: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=64, max_test_accuracy=0.4338, num_s1: 15893, num_s2: 107, num_s_per_node: 16000
2025-04-01 23:30:27: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=64, max_test_accuracy=0.6637, num_s1: 15912, num_s2: 47, num_s_per_node: 15959
2025-04-01 23:32:08: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.0025, T=64, max_test_accuracy=0.7662, num_s1: 15911, num_s2: 58, num_s_per_node: 15969
2025-04-01 23:33:45: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=64, max_test_accuracy=0.7644, num_s1: 15849, num_s2: 58, num_s_per_node: 15907
2025-04-01 23:35:22: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=64, max_test_accuracy=0.5021, num_s1: 15840, num_s2: 102, num_s_per_node: 15942
2025-04-01 23:36:59: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.003, T=64, max_test_accuracy=0.7730, num_s1: 15939, num_s2: 62, num_s_per_node: 16001
2025-04-01 23:38:39: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=64, max_test_accuracy=0.2203, num_s1: 15837, num_s2: 70, num_s_per_node: 15907
2025-04-01 23:40:18: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=64, max_test_accuracy=0.1155, num_s1: 15861, num_s2: 127, num_s_per_node: 15988
2025-04-01 23:41:52: testset'acc: device=cuda:1, dataset=amazon_photo, batch_size=64, learning_rate=0.01, T=64, max_test_accuracy=0.1792, num_s1: 15864, num_s2: 146, num_s_per_node: 16010
